DFA_channel1,Fisher_Information_channel1,HFD_channel1,PFD_channel1,SVD_Entropy_channel1,variance_channel1,std_deviation_channel1,mean_channel1,fft_variance_channel1,fft_std_deviation_channel1,fft2_variance_channel1,zero_crossing_rate_channel1,complexity_channel1,DFA_channel2,Fisher_Information_channel2,HFD_channel2,PFD_channel2,SVD_Entropy_channel2,variance_channel2,std_deviation_channel2,mean_channel2,fft_variance_channel2,fft_std_deviation_channel2,fft2_variance_channel2,zero_crossing_rate_channel2,complexity_channel2,label
-2.55829877267468,-2.415130821115496,2.1693718099928843,2.2081394943657475,0.12514041133421147,0.15728950526792898,0.6320085211504668,0.6244457382620764,2.1693718099928843,2.2081394943657475,6.22711996964716e-10,2.020648089378841e-09,2.4954197982798726e-05,4.495161942999208e-05,-9.732692827461012e-06,-5.656310243839903e-06,3.6696965274316116e-07,1.0486477257084056e-06,0.0006057802016764506,0.0010240350217196703,1.5067655641178055e-06,7.452856279654537e-07,58.0,88.0,0.0003578829488712278,0.0012796346525516,1.0
-2.4647575311416037,-2.3181084839792034,2.13638779557154,2.2232713748339514,0.16012082249823517,0.14168535760399598,0.6232849648680382,0.6250359789017879,2.13638779557154,2.2232713748339514,1.2181498133966552e-09,3.6655188927787803e-09,3.490200299978004e-05,6.054352890919706e-05,8.57489277367477e-06,-6.029020491454465e-07,6.60641687191611e-07,1.873132164892656e-06,0.000812798675682737,0.0013686241868725892,2.9871317041903994e-06,1.100785925492246e-06,82.0,88.0,0.0007178398836808107,0.0022056412817603116,1.0
-2.246992498630286,-2.207568489756315,1.879554838339312,2.072541338922649,0.07930657871688841,0.13516186811369627,0.6467154172674313,0.6293651840604091,1.879554838339312,2.072541338922649,6.1465325874888075e-09,5.261918797679661e-09,7.839982517511635e-05,7.253908462118654e-05,2.6667432707951817e-06,2.362165766335246e-06,3.1505731298882803e-06,2.6940791864446744e-06,0.0017749853886407855,0.0016413650375357318,8.181857954208862e-06,2.1042292216826214e-06,50.0,44.0,0.0036855789759443914,0.0027174402185134805,1.0
-2.1094494543791105,-2.1469235876077954,1.9069217969452992,1.8784844044177202,0.07883266435664214,0.106425415853169,0.6441135021617183,0.6400329427476308,1.9069217969452992,1.8784844044177202,9.65886143662086e-09,9.114339707700703e-09,9.82795066970773e-05,9.5469051046403e-05,3.836921688884943e-06,1.9217578032886996e-06,4.952825713332835e-06,4.668412736397635e-06,0.0022254944873741733,0.0021606509982867745,1.41653589064089e-05,3.2235584984870757e-06,54.0,30.0,0.005479479958570401,0.005144235758291317,1.0
-2.2350183670811656,-2.2458751349530126,1.9253224443589347,1.9059069359926435,0.09955027068117184,0.14389697269890625,0.6432727494158055,0.6313352416356905,1.9253224443589347,1.9059069359926435,8.95609751706967e-09,8.491809816868168e-09,9.463666053422251e-05,9.215101636372856e-05,-7.564445996551291e-06,-1.1166309922702192e-05,4.608024651301673e-06,4.407087003702243e-06,0.002146631000265689,0.002099306314881714,1.329656508580798e-05,2.673625761064114e-06,46.0,50.0,0.00560263281335405,0.0047591272195984,1.0
-2.2500645988640935,-2.293258506240884,2.094870981066083,2.0704929037578217,0.20728858193829686,0.219509699049933,0.6163165952766629,0.6183616790358605,2.094870981066083,2.0704929037578217,7.975934775787377e-09,3.979254253338836e-09,8.930808908372958e-05,6.30813304658267e-05,-6.236038004603385e-06,1.371548325393154e-06,4.0966706067381e-06,2.0336669476626874e-06,0.0020240233710948348,0.001426066950624229,4.734557519187183e-06,5.098389903949656e-06,54.0,78.0,0.0035236566871054897,0.002028272052456432,1.0
-2.0909555482903412,-2.233670813362311,2.1435274065503953,2.1431050143219443,0.24010328356956986,0.2263737471028581,0.6173288863555668,0.6124582087038853,2.1435274065503953,2.1431050143219443,1.7691053801433845e-08,5.425148249263967e-09,0.00013300772083391942,7.365560568798527e-05,-1.958226222399904e-05,5.328856745174117e-06,9.130334144923107e-06,2.7821423658122837e-06,0.0030216442783562573,0.0016679755291407257,1.4378710892579068e-05,5.059743161803155e-06,92.0,94.0,0.008586176255434955,0.0028573109102423408,1.0
-2.2076479070256503,-2.267674916174022,2.2014095873638166,2.230454068160802,0.34334819523461757,0.23472169621672853,0.6075950095040317,0.6148349912773354,2.2014095873638166,2.230454068160802,9.992773787165657e-09,4.566071495456066e-09,9.996386240619986e-05,6.757271265426649e-05,1.886995858128365e-05,1.1265560541841474e-05,5.2969723055420774e-06,2.391971194491767e-06,0.00230151521948956,0.001546599881834913,9.399721285030676e-06,2.7032857934450947e-06,130.0,94.0,0.0060028338923595395,0.002794685369588147,1.0
-2.207415294633263,-2.243839527089907,2.260149388498433,2.2738162001753652,0.28984172491638455,0.24572314294810957,0.6106344912719592,0.611084234720422,2.260149388498433,2.2738162001753652,7.709363891699836e-09,4.949638667771386e-09,8.78029833872394e-05,7.035366847415553e-05,2.699119305080338e-06,-5.6589051085247094e-06,3.949783004866213e-06,2.5498300923724662e-06,0.001987406099634952,0.0015968187412391133,6.548362821329025e-06,2.9896830356821083e-06,162.0,124.0,0.0032630526341429723,0.0028037306555666946,1.0
-2.2074949863040216,-2.167291442895515,2.171290637450054,2.195028462527268,0.3142352332122238,0.16435191648882994,0.6093090626092812,0.6250359789017879,2.171290637450054,2.195028462527268,1.0080145756727967e-08,9.962021522936107e-09,0.0001003999290673453,9.98099269759081e-05,8.203098027771462e-07,-1.924907884403149e-06,5.1481429705187955e-06,5.10113570289733e-06,0.002268951954211194,0.0022585693929780704,1.2083753558001485e-05,4.211066884953403e-06,122.0,96.0,0.004561813717769881,0.005412418240410213,1.0
